It Chapter Two<,>โผล่จากนรก 2<,>น 15+<,>สยองขวัญ / ระทึกขวัญ<,>/poster/ItChapterTwo.jpg<,>169<,>2019-09-05<,>Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back.<,>True_2D<,>True_4K<,>True_3D<,>True_IMAX Digital 2D<,>True_4DX<,>trailer/IT Chapter Two - Final Trailer (ซับไทย).mp4
47 Meters Down Uncaged<,>47 ดิ่งลึกสุดนรก<,>น 15+<,>ผจญภัย / ชีวิต / สยองขวัญ<,>/poster/47MetersDownUncaged.jpg<,>90<,>2019-08-09<,>Four teen girls diving in a ruined underwater city quickly learn they've entered the territory of the deadliest shark species in the claustrophobic labyrinth of submerged caves.<,>True_2D<,>True_4K<,>True_3D<,>True_IMAX Digital 2D<,>True_4DX<,>trailer/47 Meters Down- Uncaged - ดิ่งลึกสุดนรก - Official Final Trailer [ซับไทย].mp4
Fast And Furious Hobbs and Shaw<,>เร็ว แรงทะลุนรกฮ็อบส์ แอนด์ ชอว์<,>น 15+<,>แอ็คชัน<,>/poster/FastAndFuriousHobbsandShaw.jpg<,>133<,>2019-07-31<,>Lawman Luke Hobbs and outcast Deckard Shaw form an unlikely alliance when a cyber-genetically enhanced villain threatens the future of humanity.<,>True_2D<,>True_4K<,>True_3D<,>True_IMAX Digital 2D<,>True_4DX<,>trailer/Fast & Furious- Hobbs & Shaw - Trailer #2 - Thai Sub - UIP Thailand.mp4
Pro May<,>โปรเม อัจฉริยะต้องสร้าง<,>ทั่วไป<,>ชีวิต / ไทย<,>/poster/ProMay.jpg<,>103<,>2019-08-15<,>นี่คือ เรื่องราวทั้งหมด ของ “เม เอรียา จุฑานุกาล” และครอบครัวของเธอ ที่เริ่มต้นจาก การทิ้งโลกวัยเด็กของเธอไว้เบื้องหลังและเริ่มเล่นกอล์ฟ ตั้งแต่ยังเด็ก ตลอดเวลา เม และครอบครัว ต้องผ่านการฝึกฝนอย่างหนัก ทั้งเรื่องกอล์ฟ และบททดสอบ ความยากลำบากในการใช้ชีวิต ช่วงเวลาที่บาดเจ็บ การตกลงสู่จุดที่แถบจะเรียกได้ว่า ต่ำที่สุดของชีวิต ของเธอ และครอบครัว<,>True_2D<,>True_4K<,>True_3D<,>True_IMAX Digital 2D<,>True_4DX<,>trailer/โปรเม อัจฉริยะ_ต้อง_สร้าง - Official Trailer.mp4
Angel Has Fallen<,>ผ่ายุทธการ ดับแผนอหังการ์<,>น 15+<,>แอ็คชัน / ชีวิต / ระทึกขวัญ<,>/poster/AngelHasFallen.jpg<,>120<,>2019-08-22<,>Secret Service Agent Mike Banning is framed for the attempted assassination of the President and must evade his own agency and the FBI as he tries to uncover the real threat.<,>True_2D<,>True_4K<,>True_3D<,>True_IMAX Digital 2D<,>True_4DX<,>trailer/[Official Trailer ซับไทย] Angel Has Fallen ผ่ายุทธการ ดับแผนอหังการ์.mp4
Weathering with You<,>ฤดูฝัน ฉันมีเธอ<,>น 13+<,>แอนิเมชัน / แฟนตาซี / โรแมนติก<,>/poster/WeatheringwithYou.jpg<,>112<,>2019-09-05<,>A high-school boy who has run away to Tokyo befriends a girl who appears to be able to manipulate the weather.<,>True_2D<,>True_4K<,>True_3D<,>True_IMAX Digital 2D<,>True_4DX<,>trailer/Weathering with You - ฤดูฝัน ฉันมีเธอ - Trailer [ซับไทย].mp4
